CPU: Intel Core/i7, speed 2393.98 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 90000
samples  %        linenr info                 app name                 symbol name
123       0.0025  (no location information)   kallsyms                 unlock_page
123       0.0025  (no location information)   kallsyms                 vma_adjust
122       0.0024  decode.c:170                suricata                 PacketGetFromQueueOrAlloc
120       0.0024  (no location information)   kallsyms                 file_update_time
119       0.0024  (no location information)   kallsyms                 ext4_da_write_begin
117       0.0023  (no location information)   kallsyms                 _cond_resched
117       0.0023  (no location information)   kallsyms                 enqueue_entity
116       0.0023  (no location information)   kallsyms                 vfs_write
115       0.0023  (no location information)   kallsyms                 do_futex
115       0.0023  (no location information)   kallsyms                 get_futex_key
115       0.0023  decode-udp.c:74             suricata                 DecodeUDP
112       0.0022  detect-engine-address.c:384 suricata                 DetectAddressInsert
111       0.0022  (no location information)   kallsyms                 __generic_file_write_iter
110       0.0022  (no location information)   kallsyms                 __hrtimer_run_queues
109       0.0022  (no location information)   kallsyms                 __percpu_counter_add
109       0.0022  source-pcap.c:700           suricata                 DecodePcap.part.1
108       0.0022  (no location information)   kallsyms                 native_read_tsc
108       0.0022  decode-ethernet.c:43        suricata                 DecodeEthernet
107       0.0021  detect-csum.c:614           suricata                 DetectUDPV6CsumMatch
106       0.0021  (no location information)   kallsyms                 hrtimer_interrupt
105       0.0021  (no location information)   kallsyms                 __mod_zone_page_state
105       0.0021  stream-tcp-reassemble.c:3529 suricata                 StreamTcpSegmentDataCompare
104       0.0021  (no location information)   kallsyms                 rw_verify_area
104       0.0021  (no location information)   kallsyms                 timerqueue_add
104       0.0021  (no location information)   kallsyms                 virtqueue_get_vring_size
104       0.0021  detect-engine-address.c:1897 suricata                 DetectAddressLookupInHead
104       0.0021  detect.c:4644               suricata                 SigGroupBuild
103       0.0021  (no location information)   kallsyms                 update_cfs_rq_blocked_load
102       0.0020  (no location information)   kallsyms                 __block_commit_write.isra.20
102       0.0020  (no location information)   kallsyms                 check_preempt_wakeup
102       0.0020  (no location information)   kallsyms                 clear_buddies
102       0.0020  (no location information)   kallsyms                 kfree_skbmem
102       0.0020  (no location information)   kallsyms                 skb_page_frag_refill
102       0.0020  (no location information)   libpthread-2.21.so       pthread_cond_timedwait@@GLIBC_2.3.2
101       0.0020  (no location information)   kallsyms                 account_entity_enqueue
101       0.0020  util-logopenfile.c:129      suricata                 SCLogFileWrite
100       0.0020  (no location information)   kallsyms                 __rmqueue
100       0.0020  (no location information)   kallsyms                 mutex_lock
100       0.0020  (no location information)   kallsyms                 perf_event_aux
100       0.0020  (no location information)   kallsyms                 smp_call_function_many
100       0.0020  detect-content.c:87         suricata                 DetectContentDataParse
99        0.0020  (no location information)   kallsyms                 __calc_delta
96        0.0019  (no location information)   kallsyms                 change_protection_range
96        0.0019  (no location information)   kallsyms                 find_get_entry
96        0.0019  (no location information)   kallsyms                 hash_futex
96        0.0019  (no location information)   kallsyms                 jbd2_journal_dirty_metadata
95        0.0019  (no location information)   kallsyms                 futex_wait
94        0.0019  (no location information)   kallsyms                 __ext4_handle_dirty_metadata
94        0.0019  util-hashlist.c:251         suricata                 HashListTableLookup
94        0.0019  detect-engine-sigorder.c:581 suricata                 SCSigOrderByActionCompare
93        0.0019  (no location information)   kallsyms                 entry_SYSCALL_64
93        0.0019  (no location information)   kallsyms                 perf_event_aux_ctx
93        0.0019  (no location information)   kallsyms                 schedule
91        0.0018  (no location information)   kallsyms                 _mix_pool_bytes
91        0.0018  (no location information)   kallsyms                 sg_init_table
90        0.0018  (no location information)   kallsyms                 file_remove_privs
90        0.0018  (no location information)   kallsyms                 hrtimer_nanosleep
90        0.0018  (no location information)   kallsyms                 rb_erase
88        0.0018  (no location information)   kallsyms                 ext4_inode_csum_set
88        0.0018  (no location information)   kallsyms                 perf_event_mmap
87        0.0017  (no location information)   kallsyms                 sys_nanosleep
86        0.0017  (no location information)   kallsyms                 ext4_journal_check_start
86        0.0017  flow.c:866                  suricata                 FlowGetAppState
85        0.0017  (no location information)   kallsyms                 jbd2__journal_start
85        0.0017  (no location information)   kallsyms                 rb_insert_color
84        0.0017  util-proto-name.c:96        suricata                 SCProtoNameValid
83        0.0017  htp_list.c:189              libhtp-0.5.19.so.1.0.0   htp_list_array_size
83        0.0017  pcre_compile.c:8827         libpcre.so.3.13.1        pcre_compile2
83        0.0017  detect-engine-state.c:378   suricata                 DeStateFlowHasInspectableState
82        0.0016  (no location information)   kallsyms                 jbd2_journal_grab_journal_head
81        0.0016  (no location information)   kallsyms                 __pv_queued_spin_lock_slowpath
80        0.0016  app-layer.c:471             suricata                 AppLayerHandleUdp
80        0.0016  detect-engine-sigorder.c:520 suricata                 SCSigOrder
78        0.0016  (no location information)   kallsyms                 __perf_event_task_sched_in
78        0.0016  (no location information)   kallsyms                 handle_irq
77        0.0015  (no location information)   kallsyms                 mark_buffer_dirty
77        0.0015  source-pcap.c:707           suricata                 DecodePcap
77        0.0015  util-pool.c:284             suricata                 PoolGet
75        0.0015  (no location information)   kallsyms                 __hrtimer_init
75        0.0015  (no location information)   kallsyms                 clockevents_program_event
74        0.0015  (no location information)   kallsyms                 __do_page_fault
74        0.0015  (no location information)   kallsyms                 ktime_get
74        0.0015  (no location information)   kallsyms                 set_next_entity
73        0.0015  (no location information)   kallsyms                 ext4_nonda_switch
73        0.0015  (no location information)   kallsyms                 irq_complete_move
73        0.0015  (no location information)   kallsyms                 rcu_note_context_switch
73        0.0015  pcre_get.c:348              libpcre.so.3.13.1        pcre_copy_substring
73        0.0015  flow.c:183                  suricata                 FlowGetPacketDirection
72        0.0014  (no location information)   libpthread-2.21.so       pthread_cond_wait@@GLIBC_2.3.2
72        0.0014  app-layer-parser.c:1048     suricata                 AppLayerParserProtocolSupportsTxs
72        0.0014  detect-engine-iponly.c:107  suricata                 IPOnlyCIDRItemParseSingle
72        0.0014  stream-tcp-reassemble.c:3310 suricata                 StreamTcpReassembleRaw.isra.13
71        0.0014  (no location information)   kallsyms                 ext4_get_group_desc
71        0.0014  (no location information)   kallsyms                 next_zones_zonelist
71        0.0014  (no location information)   kallsyms                 set_next_buddy
71        0.0014  (no location information)   kallsyms                 vmacache_find
71        0.0014  detect-engine-mpm.c:118     suricata                 SignatureHasStreamContent
70        0.0014  (no location information)   kallsyms                 get_mem_cgroup_from_mm
70        0.0014  (no location information)   kallsyms                 jbd2_write_access_granted.isra.8.part.9
70        0.0014  flow-manager.c:786          suricata                 FlowRecycler
69        0.0014  (no location information)   kallsyms                 __free_pages_ok
69        0.0014  (no location information)   kallsyms                 smp_apic_timer_interrupt
69        0.0014  detect-engine-address.c:1200 suricata                 DetectAddressMergeNot
69        0.0014  stream-tcp-reassemble.c:3417 suricata                 StreamTcpReassembleHandleSegment
68        0.0014  app-layer-htp.c:2595        suricata                 HTPStateGetTxCnt
67        0.0013  (no location information)   kallsyms                 alloc_pages_vma
67        0.0013  detect-bytejump.c:112       suricata                 DetectBytejumpDoMatch
66        0.0013  (no location information)   kallsyms                 __wake_up
66        0.0013  (no location information)   kallsyms                 eth_header_parse
66        0.0013  (no location information)   kallsyms                 wait_for_stable_page
66        0.0013  util-checksum.c:72          suricata                 ChecksumAutoModeCheck
66        0.0013  detect-engine-siggroup.c:1616 suricata                 SigGroupHeadGetMinMpmSize
65        0.0013  (no location information)   kallsyms                 __raise_softirq_irqoff
